기간,순위,프로그램,시청률
2012년 2월 1주,9,일일드라마(내딸꽃님이),16.3
2012년 2월 1주,10,순간포착,15.5
2012년 2월 2주,7,주말극장(내일이오면),17.7
2012년 2월 2주,10,일일드라마(내딸꽃님이),16.4
2012년 2월 3주,9,주말극장(내일이오면),17.8
2012년 2월 3주,10,순간포착,16.5
2012년 2월 4주,7,SBS월화드라마(샐러리맨초한지),18.0
2012년 2월 4주,9,주말극장(내일이오면),17.5
2012년 3월 1주,4,SBS스포츠축구(브라질월드컵아시아3차예선한국:쿠웨이트),21.1
2012년 3월 1주,7,SBS월화드라마(샐러리맨초한지),19.0
2012년 3월 1주,9,주말극장(내일이오면),18.2
2012년 3월 2주,6,SBS월화드라마(샐러리맨초한지),19.8
2012년 3월 2주,9,주말극장(내일이오면),18.7
2012년 3월 3주,4,SBS월화드라마(샐러리맨초한지),20.4
2012년 3월 3주,7,주말극장(내일이오면),18.0
2012년 3월 3주,10,일일드라마(내딸꽃님이),17.2
2012년 3월 4주,7,주말극장(내일이오면),18.2
2012년 3월 4주,10,아침연속극(태양의신부),16.6
2012년 4월 1주,6,주말극장(내일이오면),17.9
2012년 4월 1주,7,아침연속극(태양의신부),16.9
2012년 4월 1주,8,"일요일이좋다(런닝맨,서바이벌오디션K팝스타)",16.8
2012년 4월 1주,9,일일드라마(내딸꽃님이),16.1
2012년 4월 2주,8,주말극장(내일이오면),15.9
2012년 4월 2주,10,일일드라마(내딸꽃님이),15.7
2012년 4월 3주,6,주말극장(내일이오면),17.5
2012년 4월 3주,9,일일드라마(내딸꽃님이),16.4
2012년 4월 4주,5,주말극장(내일이오면),17.7
2012년 4월 4주,8,"일요일이좋다(런닝맨,서바이벌오디션K팝스타)",17.2
2012년 4월 4주,9,일일드라마(내딸꽃님이),16.7
2012년 4월 5주,7,일일드라마(내딸꽃님이),16.9
2012년 4월 5주,10,"일요일이좋다(런닝맨,서바이벌오디션K팝스타)",14.9
2012년 5월 1주,7,일일드라마(내딸꽃님이),16.3
2012년 5월 1주,8,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",14.7
2012년 5월 2주,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.0
2012년 5월 2주,8,일일드라마(내딸꽃님이),14.8
2012년 5월 3주,6,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",17.0
2012년 5월 3주,8,순간포착,15.2
2012년 5월 3주,9,일일드라마(내딸꽃님이),15.1
2012년 5월 4주,6,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",16.1
2012년 5월 4주,7,순간포착,14.8
2012년 5월 4주,9,드라마스페셜(옥탑방왕세자),13.8
2012년 5월 4주,10,특별기획(신사의품격),13.4
2012년 6월 1주,6,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",17.6
2012년 6월 1주,7,특별기획(신사의품격),14.9
2012년 6월 2주,6,특별기획(신사의품격),16.3
2012년 6월 2주,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.5
2012년 6월 2주,10,순간포착,13.2
2012년 6월 3주,6,특별기획(신사의품격),16.9
2012년 6월 3주,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.5
2012년 6월 3주,9,순간포착,14.5
2012년 6월 4주,3,특별기획(신사의품격),19.5
2012년 6월 4주,8,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.5
2012년 6월 4주,10,SBS월화드라마(추적자THECHASER),12.4
2012년 7월 1주,2,특별기획(신사의품격),21.2
2012년 7월 1주,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.6
2012년 7월 1주,10,SBS월화드라마(추적자THECHASER),12.8
2012년 7월 2주,2,특별기획(신사의품격),21.8
2012년 7월 2주,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",17.3
2012년 7월 2주,8,순간포착,16.8
2012년 7월 2주,10,그것이알고싶다,13.7
2012년 7월 3주,2,특별기획(신사의품격),23.6
2012년 7월 3주,6,SBS월화드라마(추적자THECHASER),19.3
2012년 7월 3주,7,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",18.1
2012년 7월 3주,10,드라마스페셜(유령),13.8
2012년 7월 4주,2,특별기획(신사의품격),24.4
2012년 7월 4주,4,SBS월화드라마(추적자THECHASER),21.5
2012년 7월 4주,7,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",17.1
2012년 7월 4주,9,순간포착,14.6
2012년 7월 5주,6,힐링캠프기쁘지아니한가,18.7
2012년 7월 5주,9,드라마스페셜(유령),14.3
2012년 8월 1주,6,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",14.7
2012년 8월 2주,5,특별기획(신사의품격),20.8
2012년 8월 2주,7,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",16.8
2012년 8월 3주,6,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",16.9
2012년 9월 1주,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.3
2012년 9월 1주,8,순간포착,15.1
2012년 9월 2주,6,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.1
2012년 9월 3주,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.2
2012년 9월 3주,8,순간포착,15.4
2012년 9월 4주,8,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",15.2
2012년 9월 5주,7,순간포착,14.9
2012년 9월 5주,8,일일드라마(그래도당신),14.7
2012년 9월 5주,10,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",14.3
